2025-11-29T14:22:07.930-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=3/10, idle=2/10, active=1, waiting=0)
2025-11-29T14:22:07.930-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (fc3aabc9-ccfd-4295-a5d7-c83edfa33436)
2025-11-29T14:22:07.932-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (fc3aabc9-ccfd-4295-a5d7-c83edfa33436)
2025-11-29T14:22:07.933-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn3: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:07.964-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=4/10, idle=3/10, active=1, waiting=0)
2025-11-29T14:22:07.965-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (beee51b9-5cf9-4311-a514-bcf24d2771c8)
2025-11-29T14:22:07.966-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (beee51b9-5cf9-4311-a514-bcf24d2771c8)
2025-11-29T14:22:07.967-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn4: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:07.973-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.f.c.i.s.JdbcTableSchemaHistory | message=Schema history table "PUBLIC"."flyway_schema_history" does not exist yet
2025-11-29T14:22:07.980-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.f.core.internal.command.DbValidate | message=Successfully validated 3 migrations (execution time 00:00.048s)
2025-11-29T14:22:07.994-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=org.flywaydb.core.Flyway | message=All configured schemas are empty; baseline operation skipped. A baseline or migration script with a lower version than the baseline version may execute if available. Check the Schemas parameter if this is not intended.
2025-11-29T14:22:07.999-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=5/10, idle=4/10, active=1, waiting=0)
2025-11-29T14:22:07.999-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.f.c.i.s.JdbcTableSchemaHistory | message=Creating Schema History table "PUBLIC"."flyway_schema_history" ...
